ダウンロードした時刻：2023/07/20 12:12:46

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1930/6/1,21.8,8,1,25.8,8,1,16.7,8,1
1930/6/2,21.1,8,1,24.5,8,1,18.0,8,1
1930/6/3,22.7,8,1,26.7,8,1,19.4,8,1
1930/6/4,20.0,8,1,24.5,8,1,15.6,8,1
1930/6/5,16.1,8,1,17.6,8,1,14.4,8,1
1930/6/6,20.1,8,1,24.8,8,1,14.2,8,1
1930/6/7,21.0,8,1,25.0,8,1,15.2,8,1
1930/6/8,21.5,8,1,25.6,8,1,17.6,8,1
1930/6/9,20.8,8,1,24.4,8,1,18.7,8,1
1930/6/10,20.6,8,1,24.6,8,1,16.7,8,1
1930/6/11,21.1,8,1,25.9,8,1,17.2,8,1
1930/6/12,22.2,8,1,26.7,8,1,16.6,8,1
1930/6/13,23.1,8,1,27.1,8,1,19.2,8,1
1930/6/14,23.1,8,1,26.4,8,1,20.3,8,1
1930/6/15,21.9,8,1,25.3,8,1,18.0,8,1
1930/6/16,17.6,8,1,18.9,8,1,16.5,8,1
1930/6/17,19.9,8,1,24.6,8,1,15.9,8,1
1930/6/18,22.2,8,1,26.9,8,1,15.0,8,1
1930/6/19,21.7,8,1,24.7,8,1,18.4,8,1
1930/6/20,22.7,8,1,27.4,8,1,17.0,8,1
1930/6/21,23.7,8,1,28.5,8,1,19.4,8,1
1930/6/22,21.8,8,1,27.1,8,1,18.5,8,1
1930/6/23,19.4,8,1,20.8,8,1,17.6,8,1
1930/6/24,20.7,8,1,24.0,8,1,17.1,8,1
1930/6/25,23.7,8,1,26.3,8,1,20.5,8,1
1930/6/26,24.5,8,1,28.6,8,1,21.3,8,1
1930/6/27,21.6,8,1,22.8,8,1,19.7,8,1
1930/6/28,23.4,8,1,27.4,8,1,19.6,8,1
1930/6/29,20.2,8,1,21.2,8,1,19.3,8,1
1930/6/30,23.2,8,1,27.4,8,1,17.2,8,1
1930/7/1,25.4,8,1,28.7,8,1,22.1,8,1
1930/7/2,25.9,8,1,30.2,8,1,23.3,8,1
1930/7/3,25.5,8,1,30.0,8,1,20.8,8,1
1930/7/4,28.0,8,1,33.4,8,1,21.5,8,1
1930/7/5,26.5,8,1,29.9,8,1,21.6,8,1
1930/7/6,23.8,8,1,28.1,8,1,20.1,8,1
1930/7/7,22.2,8,1,24.5,8,1,20.0,8,1
1930/7/8,24.1,8,1,27.4,8,1,20.4,8,1
1930/7/9,24.5,8,1,28.0,8,1,21.5,8,1
1930/7/10,22.1,8,1,24.6,8,1,20.1,8,1
1930/7/11,24.9,8,1,29.3,8,1,21.3,8,1
1930/7/12,26.4,8,1,29.9,8,1,22.7,8,1
1930/7/13,27.7,8,1,32.6,8,1,23.9,8,1
1930/7/14,28.2,8,1,32.7,8,1,23.9,8,1
1930/7/15,28.9,8,1,33.8,8,1,24.7,8,1
1930/7/16,28.7,8,1,33.5,8,1,23.9,8,1
1930/7/17,28.2,8,1,32.0,8,1,25.1,8,1
1930/7/18,28.1,8,1,31.0,8,1,24.8,8,1
1930/7/19,26.4,8,1,28.1,8,1,25.1,8,1
1930/7/20,23.6,8,1,25.8,8,1,21.1,8,1
1930/7/21,23.8,8,1,26.9,8,1,21.0,8,1
1930/7/22,24.7,8,1,27.9,8,1,22.0,8,1
1930/7/23,27.8,8,1,31.4,8,1,24.7,8,1
1930/7/24,28.2,8,1,31.7,8,1,25.3,8,1
1930/7/25,28.0,8,1,30.9,8,1,25.1,8,1
1930/7/26,27.9,8,1,32.0,8,1,24.2,8,1
1930/7/27,28.1,8,1,32.4,8,1,24.4,8,1
1930/7/28,28.1,8,1,32.6,8,1,24.2,8,1
1930/7/29,26.7,8,1,31.2,8,1,23.0,8,1
1930/7/30,25.4,8,1,28.6,8,1,23.8,8,1
1930/7/31,26.9,8,1,29.8,8,1,24.6,8,1
1930/8/1,25.5,8,1,27.6,8,1,23.8,8,1
1930/8/2,25.5,8,1,27.9,8,1,23.3,8,1
1930/8/3,27.2,8,1,31.4,8,1,24.5,8,1
1930/8/4,27.1,8,1,31.2,8,1,23.5,8,1
1930/8/5,27.3,8,1,30.8,8,1,24.2,8,1
1930/8/6,27.4,8,1,31.2,8,1,24.8,8,1
1930/8/7,27.6,8,1,31.4,8,1,24.5,8,1
1930/8/8,26.9,8,1,32.4,8,1,22.9,8,1
1930/8/9,23.3,8,1,25.5,8,1,20.6,8,1
1930/8/10,26.1,8,1,29.8,8,1,22.7,8,1
1930/8/11,27.4,8,1,30.1,8,1,24.0,8,1
1930/8/12,27.5,8,1,31.9,8,1,23.4,8,1
1930/8/13,27.1,8,1,28.4,8,1,25.6,8,1
1930/8/14,27.6,8,1,30.9,8,1,25.2,8,1
1930/8/15,27.9,8,1,31.6,8,1,24.5,8,1
1930/8/16,27.4,8,1,31.4,8,1,23.5,8,1
1930/8/17,26.3,8,1,30.2,8,1,22.2,8,1
1930/8/18,25.9,8,1,31.6,8,1,21.5,8,1
1930/8/19,27.1,8,1,32.6,8,1,21.4,8,1
1930/8/20,28.0,8,1,31.3,8,1,24.7,8,1
1930/8/21,27.4,8,1,31.7,8,1,24.6,8,1
1930/8/22,27.5,8,1,31.9,8,1,22.3,8,1
1930/8/23,28.2,8,1,32.5,8,1,24.7,8,1
1930/8/24,28.1,8,1,33.5,8,1,24.7,8,1
1930/8/25,27.3,8,1,32.4,8,1,22.8,8,1
1930/8/26,27.9,8,1,33.2,8,1,24.0,8,1
1930/8/27,26.6,8,1,29.7,8,1,23.1,8,1
