ダウンロードした時刻：2023/07/20 12:38:29

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2023/6/1,20.8,8,1,26.2,8,1,15.3,8,1
2023/6/2,21.3,8,1,23.8,8,1,19.7,8,1
2023/6/3,20.0,8,1,24.0,8,1,17.5,8,1
2023/6/4,21.6,8,1,27.5,8,1,15.3,8,1
2023/6/5,23.1,8,1,29.8,8,1,18.4,8,1
2023/6/6,20.7,8,1,25.1,8,1,17.0,8,1
2023/6/7,22.5,8,1,29.6,8,1,17.0,8,1
2023/6/8,23.1,8,1,28.7,8,1,18.5,8,1
2023/6/9,20.2,8,1,22.2,8,1,18.2,8,1
2023/6/10,22.4,8,1,26.0,8,1,19.7,8,1
2023/6/11,21.2,8,1,22.8,8,1,20.1,8,1
2023/6/12,21.3,8,1,22.5,8,1,20.5,8,1
2023/6/13,23.7,8,1,29.4,8,1,19.9,8,1
2023/6/14,23.6,8,1,25.8,8,1,21.4,8,1
2023/6/15,21.7,8,1,24.1,8,1,20.3,8,1
2023/6/16,24.6,8,1,30.7,8,1,19.7,8,1
2023/6/17,25.4,8,1,30.9,8,1,18.8,8,1
2023/6/18,25.7,8,1,31.1,8,1,21.2,8,1
2023/6/19,23.7,8,1,27.7,8,1,18.8,8,1
2023/6/20,22.5,8,1,27.0,8,1,18.9,8,1
2023/6/21,22.6,8,1,27.2,8,1,18.7,8,1
2023/6/22,19.9,8,1,22.6,8,1,16.7,8,1
2023/6/23,21.1,8,1,24.9,8,1,16.9,8,1
2023/6/24,24.7,8,1,29.5,8,1,21.7,8,1
2023/6/25,25.8,8,1,30.9,8,1,22.0,8,1
2023/6/26,25.9,8,1,30.4,8,1,22.5,8,1
2023/6/27,25.9,8,1,29.6,8,1,23.6,8,1
2023/6/28,27.1,8,1,32.3,8,1,23.5,8,1
2023/6/29,27.3,8,1,33.8,8,1,23.4,8,1
2023/6/30,26.3,8,1,30.5,8,1,23.8,8,1
2023/7/1,25.3,8,1,27.8,8,1,21.5,8,1
2023/7/2,26.0,8,1,31.7,8,1,20.7,8,1
2023/7/3,27.3,8,1,32.2,8,1,23.6,8,1
2023/7/4,25.9,8,1,30.6,8,1,21.3,8,1
2023/7/5,25.2,8,1,28.7,8,1,22.5,8,1
2023/7/6,26.4,8,1,33.4,8,1,22.0,8,1
2023/7/7,28.4,8,1,34.2,8,1,23.8,8,1
2023/7/8,27.8,8,1,30.9,8,1,25.2,8,1
2023/7/9,28.6,8,1,33.0,8,1,25.1,8,1
2023/7/10,30.2,8,1,36.5,8,1,25.7,8,1
2023/7/11,29.4,8,1,34.3,8,1,25.3,8,1
2023/7/12,30.8,8,1,37.5,8,1,25.1,8,1
2023/7/13,28.0,8,1,30.3,8,1,24.2,8,1
2023/7/14,27.4,8,1,30.5,8,1,24.8,8,1
2023/7/15,28.8,8,1,32.9,8,1,26.5,8,1
2023/7/16,30.2,8,1,35.3,8,1,26.7,8,1
2023/7/17,31.3,8,1,36.2,8,1,26.9,8,1
2023/7/18,31.8,8,1,37.5,8,1,27.3,8,1
2023/7/19,29.7,8,1,33.9,8,1,26.4,8,1
